leg_no,fn_number,dep_ap_sched,arr_ap_sched,dep_sched,arr_sched,m_offblockdt,m_onblockdt,departure_delay,arrival_delay,sched_flight_time,act_flight_time,ac_registration,change_reason_code,ac_type_code,trans_time,sched_trans_time,trans_time_delay,crew_group,crew_type_change,sched_ground_time,ground_time_delay,act_ground_time,catering_duration,pax_boarding_duration,flight_time_delay,dep_inbound_weekday,arr_weekday,dep_time_of_day,arr_time_of_day,anzahl_personal
272022734,EC3260,South Nathaniel,East Carmen,2019-06-01 03:40:00,2019-06-01 06:00:00,2019-06-01 04:41:00,2019-06-01 06:44:00,61.0,44.0,140.0,123.0,ECLBLX,technical problem,320,0,0,0,Start,[],110.0,39.0,149.0,,,-17.0,Saturday,Saturday,Night,Morning Peak,6
272002023,EC3062,Ryanland,East Carmen,2019-06-01 03:45:00,2019-06-01 06:35:00,2019-06-01 03:46:00,2019-06-01 06:29:00,1.0,-6.0,170.0,163.0,ECLBPX,other problem,320,0,0,0,Start,[],65.0,66.0,131.0,,,-7.0,Saturday,Saturday,Night,Morning Peak,6
272034482,EC3420,East Allisontown,East Carmen,2019-06-01 04:00:00,2019-06-01 04:35:00,2019-06-01 04:04:00,2019-06-01 04:36:00,4.0,1.0,35.0,32.0,ECLWFX,other problem,E95,0,0,0,Start,[],55.0,65.0,120.0,18.0,11.0,-3.0,Saturday,Saturday,Night,Night,5
272006826,EC3124,Dudleyton,East Carmen,2019-06-01 04:00:00,2019-06-01 06:00:00,2019-06-01 04:00:00,2019-06-01 05:57:00,0.0,-3.0,120.0,117.0,ECLWNX,no reason,E95,0,0,0,Start,[],115.0,63.0,178.0,,,-3.0,Saturday,Saturday,Night,Morning Peak,5
272033720,EC3400,Port Courtneytown,East Carmen,2019-06-01 04:00:00,2019-06-01 04:35:00,2019-06-01 04:14:00,2019-06-01 04:57:00,14.0,22.0,35.0,43.0,ECLGBX,other problem,DH4,0,0,0,Start,[],35.0,-12.0,23.0,15.0,12.0,8.0,Saturday,Saturday,Night,Night,4
272101088,EC11543,East Carmen,Weeksbury,2019-06-01 04:05:00,2019-06-01 06:05:00,2019-06-01 04:20:00,2019-06-01 06:21:00,15.0,16.0,120.0,121.0,ECLBOX,other problem,320,0,0,0,Start,[],45.0,-16.0,29.0,,,1.0,Saturday,Saturday,Night,Morning Peak,6
272100613,EC11463,East Carmen,Richardsonburgh,2019-06-01 04:10:00,2019-06-01 06:40:00,2019-06-01 05:13:00,2019-06-01 07:42:00,63.0,62.0,150.0,149.0,ECLDGX,technical problem,320,0,0,0,Start,[],45.0,-47.0,-2.0,,,-1.0,Saturday,Saturday,Night,Morning Peak,5
272187794,EC2707,East Allisontown,Lake Lawrencechester,2019-06-01 04:10:00,2019-06-01 05:30:00,2019-06-01 04:14:00,2019-06-01 05:27:00,4.0,-3.0,80.0,73.0,ECLWLX,other problem,E95,0,0,0,Start,[],60.0,4.0,64.0,,,-7.0,Saturday,Saturday,Night,Morning Peak,5
272212666,EC3256,Matthewland,East Carmen,2019-06-01 04:25:00,2019-06-01 06:05:00,2019-06-01 04:25:00,2019-06-01 05:50:00,0.0,-15.0,100.0,85.0,ECLBVX,no reason,320,0,0,0,Start,[],75.0,30.0,105.0,22.0,15.0,-15.0,Saturday,Saturday,Night,Morning Peak,6
272196923,EC2967,East Carmen,West Danielport,2019-06-01 04:30:00,2019-06-01 05:55:00,2019-06-01 04:44:00,2019-06-01 05:54:00,14.0,-1.0,85.0,70.0,ECLWBX,other problem,E95,0,0,0,Start,[],45.0,17.0,62.0,,,-15.0,Saturday,Saturday,Night,Morning Peak,5
